,Geographic area,City_x,share_white,share_black,share_native_american,share_asian,share_hispanic,city,Geographic Area_x,City_y,Median Income,Geographic Area_y,City_x,poverty_rate,Geographic Area,City_y,percent_completed_hs
105,AK,Fox CDP,82,0.5,7.4,0.7,5.3,AK-Fox CDP,AK,Fox CDP,76563,AK,Fox CDP,0,AK,Fox CDP,100
106,AK,Fox River CDP,98.8,0,0,1.2,0,AK-Fox River CDP,AK,Fox River CDP,57083,AK,Fox River CDP,17.1,AK,Fox River CDP,37.9
107,AK,Fritz Creek CDP,89.9,0.5,2.9,0.8,2.6,AK-Fritz Creek CDP,AK,Fritz Creek CDP,61875,AK,Fritz Creek CDP,11.7,AK,Fritz Creek CDP,92.7
108,AK,Funny River CDP,91,0.1,4.6,0.2,1.1,AK-Funny River CDP,AK,Funny River CDP,59314,AK,Funny River CDP,11.9,AK,Funny River CDP,94.3
109,AK,Gakona CDP,79.4,0,19.7,0,0.9,AK-Gakona CDP,AK,Gakona CDP,80625,AK,Gakona CDP,8.8,AK,Gakona CDP,92.9
110,AK,Galena city,29.4,0,63.6,0.6,2.3,AK-Galena city,AK,Galena city,63333,AK,Galena city,7.9,AK,Galena city,86.4
111,AK,Gambell city,3.8,0,95.6,0.1,0.4,AK-Gambell city,AK,Gambell city,29417,AK,Gambell city,41.3,AK,Gambell city,72.4
112,AK,Game Creek CDP,100,0,0,0,0,AK-Game Creek CDP,AK,Game Creek CDP,-,AK,Game Creek CDP,0,AK,Game Creek CDP,100
113,AK,Gateway CDP,85.3,1,4.2,1.8,3.7,AK-Gateway CDP,AK,Gateway CDP,92739,AK,Gateway CDP,7.8,AK,Gateway CDP,96.1
114,AK,Glacier View CDP,94,0,0.9,0.4,3,AK-Glacier View CDP,AK,Glacier View CDP,43000,AK,Glacier View CDP,9.2,AK,Glacier View CDP,90.2
115,AK,Glennallen CDP,77.4,0.4,7.7,0.6,1.4,AK-Glennallen CDP,AK,Glennallen CDP,(X),AK,Glennallen CDP,0,AK,Glennallen CDP,94.4
